episode,reward,success,epsilon,steps
419,0.0,1,0.12242520289863423,8
420,0.0,1,0.12181307688414106,17
421,1.0,1,0.12120401149972035,27
422,0.0,1,0.12059799144222175,2
423,0.0,1,0.11999500148501063,4
424,0.0,1,0.11939502647758558,9
425,0.0,1,0.11879805134519765,42
426,0.0,1,0.11820406108847166,36
427,0.0,1,0.1176130407830293,3
428,0.0,1,0.11702497557911415,14
429,0.0,1,0.11643985070121858,6
430,0.0,1,0.11585765144771248,30
431,0.0,1,0.11527836319047392,41
432,0.0,1,0.11470197137452155,28
433,0.0,1,0.11412846151764894,6
434,0.0,1,0.1135578192100607,16
435,1.0,1,0.11299003011401039,13
436,0.0,1,0.11242507996344034,4
437,0.0,1,0.11186295456362313,28
438,0.0,1,0.11130363979080501,3
439,0.0,1,0.11074712159185099,24
440,0.0,1,0.11019338598389174,5
441,0.0,1,0.10964241905397228,32
442,1.0,1,0.10909420695870241,16
443,1.0,1,0.1085487359239089,11
444,0.0,1,0.10800599224428936,28
445,1.0,1,0.10746596228306791,60
446,0.0,1,0.10692863247165257,10
447,0.0,1,0.1063939893092943,27
448,0.0,1,0.10586201936274783,13
449,0.0,1,0.10533270926593409,36
450,0.0,1,0.10480604571960442,59
451,0.0,1,0.1042820154910064,25
452,0.0,1,0.10376060541355137,14
453,1.0,1,0.1032418023864836,28
454,0.0,1,0.10272559337455119,69
455,0.0,1,0.10221196540767843,11
456,0.0,1,0.10170090558064004,37
457,0.0,1,0.10119240105273684,55
458,1.0,1,0.10068643904747315,30
459,1.0,1,0.10018300685223579,22
460,0.0,1,0.0996820918179746,20
461,1.0,1,0.09918368135888474,8
462,0.0,1,0.09868776295209031,32
463,0.0,1,0.09819432413732986,58
464,0.0,1,0.09770335251664321,25
465,0.0,1,0.09721483575406,31
466,0.0,1,0.09672876157528969,73
467,0.0,1,0.09624511776741324,3
468,0.0,1,0.09576389217857617,18
469,0.0,1,0.09528507271768329,22
470,0.0,1,0.09480864735409487,7
471,0.0,1,0.0943346041173244,5
472,0.0,1,0.09386293109673778,53
473,0.0,1,0.09339361644125409,40
474,0.0,1,0.09292664835904782,17
475,0.0,1,0.09246201511725258,7
476,0.0,1,0.09199970504166631,5
477,0.0,1,0.09153970651645797,2
478,1.0,1,0.09108200798387568,40
479,0.0,1,0.0906265979439563,7
480,0.0,1,0.09017346495423652,12
481,0.0,1,0.08972259762946533,6
482,0.0,1,0.089273984641318,76
483,0.0,1,0.0888276147181114,13
484,0.0,1,0.08838347664452084,12
485,0.0,1,0.08794155926129824,20
486,0.0,1,0.08750185146499175,4
487,0.0,1,0.08706434220766679,53
488,0.0,1,0.08662902049662846,36
489,0.0,1,0.08619587539414532,26
490,1.0,1,0.08576489601717459,40
491,0.0,1,0.08533607153708872,62
492,0.0,1,0.08490939117940327,11
493,0.0,1,0.08448484422350626,29
494,0.0,1,0.08406242000238873,22
495,1.0,1,0.08364210790237678,30
496,0.0,1,0.0832238973628649,4
497,0.0,1,0.08280777787605056,45
498,1.0,1,0.08239373898667031,12
499,0.0,1,0.08198177029173696,27
500,0.0,1,0.08157186144027828,11
501,0.0,1,0.0811640021330769,23
502,1.0,1,0.08075818212241151,18
503,0.0,1,0.08035439121179945,13
504,0.0,1,0.07995261925574046,29
505,0.0,1,0.07955285615946175,12
506,0.0,1,0.07915509187866444,23
507,0.0,1,0.07875931641927113,20
508,0.0,1,0.07836551983717477,14
509,0.0,1,0.07797369223798889,42
510,0.0,1,0.07758382377679894,34
511,0.0,1,0.07719590465791494,59
512,0.0,1,0.07680992513462537,39
513,0.0,1,0.07642587550895225,20
514,0.0,1,0.07604374613140748,7
515,0.0,1,0.07566352740075044,12
516,0.0,1,0.07528520976374668,42
517,0.0,1,0.07490878371492794,46
518,0.0,1,0.0745342397963533,11
519,0.0,1,0.07416156859737154,25
520,0.0,1,0.07379076075438468,35
521,0.0,1,0.07342180695061275,5
522,0.0,1,0.07305469791585968,11
523,0.0,1,0.07268942442628039,27
524,0.0,1,0.07232597730414898,37
525,0.0,1,0.07196434741762824,18
526,0.0,1,0.0716045256805401,20
527,0.0,1,0.0712465030521374,14
528,0.0,1,0.0708902705368767,9
529,0.0,1,0.07053581918419231,12
530,0.0,1,0.07018314008827135,6
531,0.0,1,0.06983222438783,4
532,0.0,1,0.06948306326589085,5
